tradingdate,datefrom,dateto,Leto,Kvartal,value
01.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,26.16
01.07.2002,01.01.2003,01.04.2003,Cal-03,Q1,26.3
01.07.2002,01.10.2003,01.01.2004,Cal-03,Q4,26
01.07.2002,01.01.2004,01.04.2004,Cal-04,Q1,26.5
02.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,26.1
02.07.2002,01.01.2003,01.04.2003,Cal-03,Q1,26.35
02.07.2002,01.10.2003,01.01.2004,Cal-03,Q4,26
02.07.2002,01.01.2004,01.04.2004,Cal-04,Q1,26.5
03.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,26.1
03.07.2002,01.01.2003,01.04.2003,Cal-03,Q1,26.35
03.07.2002,01.10.2003,01.01.2004,Cal-03,Q4,26
03.07.2002,01.01.2004,01.04.2004,Cal-04,Q1,26.45
04.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,26.15
04.07.2002,01.01.2003,01.04.2003,Cal-03,Q1,26.3
04.07.2002,01.10.2003,01.01.2004,Cal-03,Q4,25.95
04.07.2002,01.01.2004,01.04.2004,Cal-04,Q1,26.45
05.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,26.05
05.07.2002,01.01.2003,01.04.2003,Cal-03,Q1,26.25
05.07.2002,01.10.2003,01.01.2004,Cal-03,Q4,25.9
05.07.2002,01.01.2004,01.04.2004,Cal-04,Q1,26.5
08.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,26.05
08.07.2002,01.01.2003,01.04.2003,Cal-03,Q1,26.3
08.07.2002,01.10.2003,01.01.2004,Cal-03,Q4,25.9
08.07.2002,01.01.2004,01.04.2004,Cal-04,Q1,26.5
09.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,26.05
09.07.2002,01.01.2003,01.04.2003,Cal-03,Q1,26.3
09.07.2002,01.10.2003,01.01.2004,Cal-03,Q4,25.95
09.07.2002,01.01.2004,01.04.2004,Cal-04,Q1,26.45
10.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,26
10.07.2002,01.01.2003,01.04.2003,Cal-03,Q1,26.2
10.07.2002,01.10.2003,01.01.2004,Cal-03,Q4,25.9
10.07.2002,01.01.2004,01.04.2004,Cal-04,Q1,26.4
11.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,25.92
11.07.2002,01.01.2003,01.04.2003,Cal-03,Q1,26.2
11.07.2002,01.10.2003,01.01.2004,Cal-03,Q4,25.85
11.07.2002,01.01.2004,01.04.2004,Cal-04,Q1,26.3
12.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,25.9
12.07.2002,01.01.2003,01.04.2003,Cal-03,Q1,26.15
12.07.2002,01.10.2003,01.01.2004,Cal-03,Q4,25.85
12.07.2002,01.01.2004,01.04.2004,Cal-04,Q1,26.25
15.07.2002,01.10.2002,01.01.2003,Cal-02,Q4,25.92
