date,price
12.08.2014,35.6247
13.08.2014,35.8072
14.08.2014,35.8258
15.08.2014,35.8066
18.08.2014,35.6100
19.08.2014,35.4434
20.08.2014,35.3563
21.08.2014,35.4748
22.08.2014,35.5615
25.08.2014,35.6728
26.08.2014,35.6599
27.08.2014,35.6305
28.08.2014,35.8847
29.08.2014,35.8604
01.09.2014,35.9724
02.09.2014,35.7655
03.09.2014,35.5782
04.09.2014,35.4778
05.09.2014,35.3889
08.09.2014,35.5187
09.09.2014,35.1499
10.09.2014,35.1419
11.09.2014,35.2354
12.09.2014,35.2354
15.09.2014,34.9777
16.09.2014,34.7079
17.09.2014,34.7610
18.09.2014,34.7948
19.09.2014,34.8416
22.09.2014,34.8306
23.09.2014,34.6349
24.09.2014,34.6937
25.09.2014,34.7797
26.09.2014,34.8004
29.09.2014,34.5525
30.09.2014,34.6825
01.10.2014,34.6800
02.10.2014,34.6725
03.10.2014,34.6775
06.10.2014,34.3948
07.10.2014,34.3546
08.10.2014,34.4050
09.10.2014,34.4718
10.10.2014,34.2650
13.10.2014,33.9122
14.10.2014,33.9433
15.10.2014,33.9227
16.10.2014,34.0470
17.10.2014,34.0740
20.10.2014,33.9813
21.10.2014,33.9420
22.10.2014,34.3431
23.10.2014,34.2789
24.10.2014,34.2659
27.10.2014,34.1533
28.10.2014,34.2806
29.10.2014,34.4350
30.10.2014,34.5390
31.10.2014,34.4159
03.11.2014,34.4162
04.11.2014,34.3049
05.11.2014,34.3121
06.11.2014,34.3157
07.11.2014,34.4881
10.11.2014,34.7168
11.11.2014,34.7851
12.11.2014,34.8031
13.11.2014,34.6691
14.11.2014,34.6690
17.11.2014,34.9475
18.11.2014,35.3958
19.11.2014,35.4356
20.11.2014,35.3353
21.11.2014,35.3414
24.11.2014,36.0021
25.11.2014,36.0961
26.11.2014,36.1020
27.11.2014,35.8376
28.11.2014,35.5556
01.12.2014,35.6466
02.12.2014,35.3375
03.12.2014,35.3309
04.12.2014,35.0682
05.12.2014,34.9920
08.12.2014,34.8480
09.12.2014,34.8556
10.12.2014,34.9368
11.12.2014,34.7976
12.12.2014,34.8608
15.12.2014,34.6418
16.12.2014,34.5164
17.12.2014,34.3283
18.12.2014,34.4459
19.12.2014,34.2123
22.12.2014,34.1425
23.12.2014,34.1580
29.12.2014,33.5804
30.12.2014,33.1939
02.01.2015,32.8950
05.01.2015,32.5167
06.01.2015,32.0772
07.01.2015,32.2771
08.01.2015,32.2043
09.01.2015,32.3818
12.01.2015,32.1464
13.01.2015,32.5053
14.01.2015,32.5363
15.01.2015,32.3907
16.01.2015,32.0377
19.01.2015,32.0463
20.01.2015,32.1160
21.01.2015,32.3224
22.01.2015,32.2306
23.01.2015,32.1447
26.01.2015,31.9597
27.01.2015,31.9954
28.01.2015,32.2527
29.01.2015,32.6022
30.01.2015,32.5519
02.02.2015,32.6651
03.02.2015,32.7466
04.02.2015,32.5291
05.02.2015,32.9098
06.02.2015,33.0094
09.02.2015,32.9727
10.02.2015,33.5031
11.02.2015,33.3767
12.02.2015,33.7026
13.02.2015,34.5280
16.02.2015,34.7475
17.02.2015,34.1091
18.02.2015,33.9913
19.02.2015,33.4462
20.02.2015,33.5755
23.02.2015,33.5850
24.02.2015,33.8698
25.02.2015,33.8690
26.02.2015,33.7817
27.02.2015,33.8204
02.03.2015,33.6222
03.03.2015,33.3708
04.03.2015,33.4061
05.03.2015,33.2036
06.03.2015,32.8987
09.03.2015,32.9383
10.03.2015,32.8500
11.03.2015,33.0144
12.03.2015,32.9406
13.03.2015,32.8844
16.03.2015,32.6750
17.03.2015,32.6981
18.03.2015,32.8604
19.03.2015,32.8182
20.03.2015,32.7550
23.03.2015,32.8481
24.03.2015,32.7283
25.03.2015,32.6472
26.03.2015,32.7687
27.03.2015,32.9988
30.03.2015,32.5913
31.03.2015,32.4117
01.04.2015,32.4344
02.04.2015,32.6000
07.04.2015,32.3728
08.04.2015,32.4075
09.04.2015,32.4719
10.04.2015,32.4088
13.04.2015,32.3717
14.04.2015,32.3740
15.04.2015,32.3496
16.04.2015,32.4443
17.04.2015,32.2938
20.04.2015,32.3124
21.04.2015,32.3432
22.04.2015,32.3055
23.04.2015,32.3255
24.04.2015,32.4665
27.04.2015,32.3877
28.04.2015,32.3091
29.04.2015,32.2875
30.04.2015,32.2812
04.05.2015,32.2080
05.05.2015,32.1685
06.05.2015,32.0905
07.05.2015,31.7153
08.05.2015,31.7688
11.05.2015,31.8523
12.05.2015,31.7579
13.05.2015,31.9235
14.05.2015,31.8851
15.05.2015,31.9633
18.05.2015,31.8442
19.05.2015,31.8209
20.05.2015,31.6033
21.05.2015,31.3691
22.05.2015,31.3510
26.05.2015,31.5191
27.05.2015,31.4169
28.05.2015,31.4885
29.05.2015,31.6296
01.06.2015,31.6163
02.06.2015,31.8260
03.06.2015,31.7126
04.06.2015,31.5717
05.06.2015,31.5779
08.06.2015,31.4350
09.06.2015,31.4326
10.06.2015,31.4908
11.06.2015,31.4822
12.06.2015,31.6302
15.06.2015,31.6120
16.06.2015,31.4161
17.06.2015,31.4659
18.06.2015,31.5062
19.06.2015,31.6435
22.06.2015,31.8773
23.06.2015,31.9487
24.06.2015,31.9326
25.06.2015,32.2752
26.06.2015,32.3367
29.06.2015,32.0851
30.06.2015,32.1018
01.07.2015,32.1415
02.07.2015,32.1281
03.07.2015,31.9900
06.07.2015,31.7806
07.07.2015,31.7876
08.07.2015,31.6857
09.07.2015,31.9200
10.07.2015,31.8815
13.07.2015,32.1569
14.07.2015,32.1057
15.07.2015,32.1181
16.07.2015,32.1061
17.07.2015,32.2614
20.07.2015,32.3873
21.07.2015,32.4274
22.07.2015,32.3763
23.07.2015,32.1947
24.07.2015,32.2087
27.07.2015,32.0784
28.07.2015,31.8230
29.07.2015,31.9141
30.07.2015,31.9471
31.07.2015,31.5992
03.08.2015,31.4148
04.08.2015,31.5008
05.08.2015,31.5226
06.08.2015,31.4406
07.08.2015,31.1134
10.08.2015,31.1089
11.08.2015,31.0588
12.08.2015,31.0400
