Latitude:	45°32'53" North, 
Longitude:	13°43'48" East

Results for: 	June

Inclination of plane:	 36	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc		Td
04:37		15		15		11		0		0		-
04:52		30		29		22		0		0		-
05:07		44		43		32		0		0		-
05:22		57		56		43		0		0		-
05:37		70		69		52		0		0		-
05:52		83		82		62		0		0		-
06:07		98		87		76		249		378		18.2
06:22		130		100		113		279		424		18.6
06:37		164		113		156		306		466		19.1
06:52		200		126		202		331		504		19.6
07:07		238		138		251		354		538		20.0
07:22		277		150		302		374		569		20.4
07:37		316		160		354		392		597		20.8
07:52		356		170		407		409		622		21.2
08:07		394		179		459		424		645		21.6
08:22		432		187		511		438		666		21.9
08:37		469		195		562		450		685		22.3
08:52		504		201		611		461		702		22.6
09:07		538		207		659		471		717		22.9
09:22		569		212		703		480		731		23.2
09:37		599		216		746		488		743		23.5
09:52		626		220		785		496		754		23.7
10:07		651		223		821		502		763		24.0
10:22		674		225		853		507		772		24.2
10:37		693		227		882		512		779		24.4
10:52		710		229		907		516		785		24.6
11:07		725		230		928		519		790		24.8
11:22		736		231		945		522		794		25.0
11:37		745		232		957		524		797		25.2
11:52		751		232		966		525		799		25.3
12:07		754		233		970		526		800		25.4
12:22		754		233		970		526		800		25.6
12:37		751		232		966		525		799		25.7
12:52		745		232		957		524		797		25.7
13:07		736		231		945		522		794		25.8
13:22		725		230		928		519		790		25.9
13:37		710		229		907		516		785		25.9
13:52		693		227		882		512		779		25.9
14:07		674		225		853		507		772		26.0
14:22		651		223		821		502		763		26.0
14:37		626		220		785		496		754		26.0
14:52		599		216		746		488		743		25.9
15:07		569		212		703		480		731		25.9
15:22		538		207		659		471		717		25.8
15:37		504		201		611		461		702		25.8
15:52		469		195		562		450		685		25.7
16:07		432		187		511		438		666		25.6
16:22		394		179		459		424		645		25.5
16:37		356		170		407		409		622		25.4
16:52		316		160		354		392		597		25.2
17:07		277		150		302		374		569		25.1
17:22		238		138		251		354		538		24.9
17:37		200		126		202		331		504		24.7
17:52		164		113		156		306		466		24.5
18:07		130		100		113		279		424		24.3
18:22		98		87		76		249		378		24.1
18:37		83		82		62		0		0		23.9
18:52		70		69		52		0		0		23.6
19:07		57		56		43		0		0		23.4
19:22		44		43		32		0		0		23.1
19:37		30		29		22		0		0		22.8
19:52		15		15		11		0		0		22.5

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)
Td: Average daytime temperature profile  (deg. C)

PVGIS (c) European Communities, 2001-2012
